TOKEN	IS_ANSWER	TOPIC_NUM	POST_NUM	SENT_NUM	TOKEN_NUM	ANIMACY	CASE	GENDER	PERSON	POS	DEPENDENCY	HEAD	HEAD_ANIMACY	HEAD_CASE	HEAD_GENDER	HEAD_POS	NER	COREFERENCE_CLUSTER	NUMBER
обсуждаем	0	1	0	0	0				1per	VERB	ROOT	обсуждаем				VERB	0	0	plur
препарат	0	1	0	0	1	inan	nomn	masc		NOUN	obj	обсуждаем				VERB	0	0	sing
рисперидон	0	1	0	0	2	anim	nomn	masc		NOUN	appos	препарат	inan	nomn	masc	NOUN	1	2	sing
рисполепт	0	1	0	0	3	inan	gent	femn		NOUN	parataxis	рисперидон	anim	nomn	masc	NOUN	1	3	plur
сперидан	0	1	0	0	4			masc		PRTS	conj	рисполепт	inan	gent	femn	NOUN	1	4	sing
не	0	1	1	0	0					PRCL	advmod	знаю				VERB	0	0	
знаю	0	1	1	0	1				1per	VERB	ROOT	знаю				VERB	0	0	sing
стоило	0	1	1	0	2			neut		VERB	ccomp	знаю				VERB	0	0	sing
ли	0	1	1	0	3					CONJ	advmod	стоило			neut	VERB	0	0	
мне	0	1	1	0	4		datv		1per	NPRO	iobj	стоило			neut	VERB	0	0	sing
писать	0	1	1	0	5					INFN	csubj	стоило			neut	VERB	0	0	
у	0	1	1	1	0					PREP	case	меня		accs		NPRO	0	0	
меня	0	1	1	1	1		accs		1per	NPRO	obl	нет				PRED	0	0	sing
практически	0	1	1	1	2					ADVB	advmod	нет				PRED	0	0	
нет	0	1	1	1	3					PRED	ROOT	нет				PRED	0	0	
никаких	0	1	1	1	4		gent			ADJF	det	проблем	inan	gent	femn	NOUN	0	0	plur
проблем	0	1	1	1	5	inan	gent	femn		NOUN	nsubj	нет				PRED	0	0	plur
и	0	1	1	1	6					CONJ	cc	лекарством	inan	ablt	neut	NOUN	0	0	
в	0	1	1	1	7					PREP	discourse	лекарством	inan	ablt	neut	NOUN	0	0	
частности	0	1	1	1	8	inan	loct	femn		NOUN	fixed	в				PREP	0	0	sing
с	0	1	1	1	9					PREP	case	лекарством	inan	ablt	neut	NOUN	0	0	
лекарством	0	1	1	1	10	inan	ablt	neut		NOUN	conj	нет				PRED	2	0	sing
по	0	1	1	2	0					PREP	advmod	говорит				VERB	0	0	
крайней	0	1	1	2	1		datv	femn		ADJF	fixed	по				PREP	0	0	sing
мере	0	1	1	2	2	inan	datv	femn		NOUN	fixed	по				PREP	0	0	sing
врач	0	1	1	2	3	anim	nomn	masc		NOUN	nsubj	говорит				VERB	0	0	sing
говорит	0	1	1	2	4				3per	VERB	ROOT	говорит				VERB	0	0	sing
что	0	1	1	2	5					CONJ	mark	идёт				VERB	0	0	
всё	0	1	1	2	6					PRCL	nsubj	идёт				VERB	0	0	
идёт	0	1	1	2	7				3per	VERB	ccomp	говорит				VERB	0	0	sing
как	0	1	1	2	8					CONJ	advmod	надо				PRED	0	0	
надо	0	1	1	2	9					PRED	advmod	идёт				VERB	0	0	
у	0	1	1	3	0					PREP	case	меня		accs		NPRO	0	0	
меня	0	1	1	3	1		accs		1per	NPRO	obl	бывают				VERB	0	0	sing
с	0	1	1	3	2					PREP	case	детства	inan	gent	neut	NOUN	0	0	
детства	0	1	1	3	3	inan	gent	neut		NOUN	obl	бывают				VERB	0	0	sing
бывают	0	1	1	3	4				3per	VERB	ROOT	бывают				VERB	0	0	plur
состояния	0	1	1	3	5	inan	gent	neut		NOUN	nsubj	бывают				VERB	0	0	sing
когда	0	1	1	3	6					CONJ	mark	впадаю				VERB	0	0	
я	0	1	1	3	7		nomn		1per	NPRO	nsubj	впадаю				VERB	0	0	sing
без	0	1	1	3	8					PREP	case	причин	inan	gent	femn	NOUN	0	0	
видимых	0	1	1	3	9		gent			ADJF	amod	причин	inan	gent	femn	NOUN	0	0	plur
причин	0	1	1	3	10	inan	gent	femn		NOUN	obl	впадаю				VERB	0	0	plur
впадаю	0	1	1	3	11				1per	VERB	advcl	бывают				VERB	0	0	sing
в	0	1	1	3	12					PREP	case	панику	inan	accs	femn	NOUN	0	0	
панику	0	1	1	3	13	inan	accs	femn		NOUN	obl	впадаю				VERB	0	0	sing
не	0	1	1	3	14					PRCL	advmod	управляю				VERB	0	0	
управляю	0	1	1	3	15				1per	VERB	conj	впадаю				VERB	0	0	sing
своими	0	1	1	3	16		ablt			ADJF	det	действиями	inan	ablt	neut	NOUN	0	0	plur
действиями	0	1	1	3	17	inan	ablt	neut		NOUN	obj	управляю				VERB	0	0	plur
странное	0	1	1	4	0		nomn	neut		ADJF	amod	беспокойство	inan	accs	neut	NOUN	0	0	sing
беспокойство	0	1	1	4	1	inan	accs	neut		NOUN	nsubj	может				VERB	0	0	sing
может	0	1	1	4	2				3per	VERB	ROOT	может				VERB	0	0	sing
